Ticker,Company Name,Asset Type,Exchange,Country,Sector,Industry,Market Cap (USD),Website,Eligibility Status,Israel Exposure,Gambling Exposure,Alcohol Exposure,Interest-Based Finance,Weapons Exposure,Adult Industry,Prohibited Structure,Rejection Reasons,Review Notes,Confidence Level,Last Reviewed Date,Primary Theme,Secondary Theme,Additional Themes,Current Price,MA50,MA200,Trend Score,Momentum Score,Volatility Rating,Risk Rating,Suggested Action,Suggested Allocation %,Portfolio Notes
JPM,JPMorgan Chase,equity,NYSE,US,Financials,Banking,580000000000,https://jpmorganchase.com,REJECTED,CLEAR,CLEAR,CLEAR,FLAGGED,CLEAR,CLEAR,CLEAR,Core business is interest-based lending and financial services. Fails: flag_interest_finance.,Conventional bank. Primary revenue from interest-based products. Not Sharia-compliant.,HIGH,2025-05-20,,,,240.50,,,,,,,Rejected: Interest-based finance is core business model.
GS,Goldman Sachs,equity,NYSE,US,Financials,Investment Banking,155000000000,https://goldmansachs.com,REJECTED,CLEAR,CLEAR,CLEAR,FLAGGED,CLEAR,CLEAR,CLEAR,Investment banking and interest-based finance. Fails: flag_interest_finance.,Conventional investment bank. Interest income and speculative trading dominant.,HIGH,2025-05-20,,,,485.30,,,,,,,Rejected: Interest-based finance and speculative trading.
LMT,Lockheed Martin,equity,NYSE,US,Industrials,Aerospace & Defence,120000000000,https://lockheedmartin.com,REJECTED,FLAGGED,CLEAR,CLEAR,CLEAR,FLAGGED,CLEAR,CLEAR,Weapons manufacturer. Israel defence contracts. Fails: flag_weapons and flag_israel_exposure.,Primary defence contractor. F-35 programme with Israel. Dual exclusion.,HIGH,2025-05-20,,,,450.80,,,,,,,Rejected: Weapons manufacturer with Israel defence contracts.
RTX,RTX Corporation (Raytheon),equity,NYSE,US,Industrials,Aerospace & Defence,150000000000,https://rtx.com,REJECTED,FLAGGED,CLEAR,CLEAR,CLEAR,FLAGGED,CLEAR,CLEAR,Weapons systems manufacturer. Iron Dome components for Israel. Fails: flag_weapons and flag_israel_exposure.,Missile systems and defence electronics. Direct Israel military supply chain.,HIGH,2025-05-20,,,,105.60,,,,,,,Rejected: Weapons systems with direct Israel military supply.
DKNG,DraftKings,equity,NASDAQ,US,Consumer Discretionary,Online Gambling,18000000000,https://draftkings.com,REJECTED,CLEAR,FLAGGED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Core business is sports betting and online gambling. Fails: flag_gambling.,Online gambling platform. 100% revenue from prohibited activity.,HIGH,2025-05-20,,,,38.90,,,,,,,Rejected: Core business is gambling/sports betting.
FLUT,Flutter Entertainment,equity,NYSE,Ireland,Consumer Discretionary,Online Gambling,35000000000,https://flutter.com,REJECTED,CLEAR,FLAGGED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Owns FanDuel and Paddy Power. Core gambling business. Fails: flag_gambling.,Global gambling conglomerate. All revenue from prohibited betting activities.,HIGH,2025-05-20,,,,210.40,,,,,,,Rejected: Global gambling conglomerate (FanDuel/Paddy Power).
DEO,Diageo,equity,NYSE,UK,Consumer Staples,Alcoholic Beverages,75000000000,https://diageo.com,REJECTED,CLEAR,CLEAR,FLAGGED,CLEAR,CLEAR,CLEAR,CLEAR,Alcohol manufacturer (Johnnie Walker/Guinness/Smirnoff). Fails: flag_alcohol.,100% revenue from alcohol production and distribution.,HIGH,2025-05-20,,,,125.80,,,,,,,Rejected: Alcohol manufacturer. Core prohibited product.
BABA,Alibaba Group,equity,NYSE,China,Technology,E-Commerce,210000000000,https://alibaba.com,WATCHLIST,CLEAR,CLEAR,CLEAR,FLAGGED,CLEAR,CLEAR,CLEAR,Under review: Ant Financial subsidiary may exceed 5% interest-based revenue threshold.,Ant Group restructuring ongoing. Financial services arm under regulatory review. Pending updated financials.,LOW,2025-05-15,AI Infrastructure,,,82.60,79.40,75.20,0.22,0.15,elevated,elevated,WATCHLIST,,Watchlist: Pending Ant Financial compliance review. Interest-based revenue threshold unclear.
PDD,PDD Holdings (Temu/Pinduoduo),equity,NASDAQ,China,Technology,E-Commerce,145000000000,https://pddholdings.com,WATCHLIST,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Under review: Temu marketplace may facilitate sale of prohibited goods. Needs deeper screening.,Marketplace model. Unclear if platform facilitates prohibited product sales at scale.,LOW,2025-05-10,,,,,,,,,WATCHLIST,,Watchlist: Marketplace screening incomplete. Prohibited goods facilitation unclear.
GRAB,Grab Holdings,equity,NASDAQ,Singapore,Technology,Super App,14000000000,https://grab.com,WATCHLIST,CLEAR,CLEAR,CLEAR,FLAGGED,CLEAR,CLEAR,CLEAR,GrabFin lending products may exceed interest-based revenue threshold. Awaiting Q2 financials.,Super app with ride-hailing (compliant) and fintech (under review). Mixed revenue streams.,MEDIUM,2025-05-12,,,,,,,,,WATCHLIST,,Watchlist: Fintech lending arm needs ratio analysis against AAOIFI thresholds.
NOVO-B,Novo Nordisk,equity,CPH,Denmark,Healthcare,Pharmaceuticals,600000000000,https://novonordisk.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Pharmaceutical company. No prohibited exposure. Passes all financial ratios.,HIGH,2025-05-19,Healthcare,,,128.50,132.40,140.80,-0.15,-0.22,moderate,moderate,HOLD,5,GLP-1 leader (Ozempic/Wegovy). In correction but strong fundamentals.
LLY,Eli Lilly and Company,equity,NYSE,US,Healthcare,Pharmaceuticals,750000000000,https://lilly.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Passes all AAOIFI thresholds. No prohibited exposure identified.,HIGH,2025-05-19,Healthcare,,,820.40,795.60,710.30,0.55,0.48,moderate,moderate,BUY,8,GLP-1 competitor (Mounjaro). Strong pipeline. Premium valuation justified by growth.
ABB,ABB Ltd,equity,NYSE,Switzerland,Industrials,Industrial Automation,95000000000,https://abb.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Swiss industrial company. Passes all thresholds. No prohibited exposure.,HIGH,2025-05-18,Industrial Automation,Robotics,,52.80,50.90,46.20,0.42,0.35,low,low,BUY,6,Global automation leader. Robotics and electrification. Defensive industrial.
FANUY,Fanuc Corporation,equity,OTC,Japan,Industrials,Robotics & CNC,32000000000,https://fanuc.co.jp,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Japanese robotics company. No prohibited exposure. Conservative balance sheet.,HIGH,2025-05-17,Robotics,Industrial Automation,,15.20,14.80,14.10,0.32,0.25,low,low,HOLD,4,Factory automation leader. Japan exposure provides diversification.
CRWD,CrowdStrike Holdings,equity,NASDAQ,US,Technology,Cybersecurity,75000000000,https://crowdstrike.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Cloud cybersecurity platform. No prohibited exposure. Passes financial ratios.,HIGH,2025-05-19,Cybersecurity,AI Infrastructure,,355.20,340.80,298.50,0.62,0.52,moderate,moderate,BUY,7,Endpoint security leader. AI-driven threat detection. Strong recurring revenue.
PANW,Palo Alto Networks,equity,NASDAQ,US,Technology,Cybersecurity,115000000000,https://paloaltonetworks.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Network security company. No prohibited exposure. Passes all thresholds.,HIGH,2025-05-19,Cybersecurity,,,185.60,178.40,162.30,0.52,0.44,moderate,moderate,BUY,6,Platform consolidation strategy. Strong enterprise demand for security.
SIEGY,Siemens AG,equity,OTC,Germany,Industrials,Conglomerate,145000000000,https://siemens.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,German industrial conglomerate. Passes all thresholds. Divested energy/weapons units.,HIGH,2025-05-18,Industrial Automation,Energy Infrastructure,Manufacturing,92.40,89.50,82.30,0.45,0.38,low,low,HOLD,5,Digital industries and smart infrastructure. Defensive European industrial.
CATL,CATL (300750.SZ),equity,SZSE,China,Technology,Battery Manufacturing,150000000000,https://catl.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,World largest battery manufacturer. No prohibited exposure. Passes ratios.,MEDIUM,2025-05-16,Battery Technology,Clean Energy,,48.20,45.60,42.80,0.38,0.30,elevated,elevated,HOLD,5,Global battery leader. EV supply chain dominance. China geopolitical risk.
FSLR,First Solar,equity,NASDAQ,US,Technology,Solar Panels,22000000000,https://firstsolar.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,US solar panel manufacturer. No prohibited exposure. Domestic manufacturing.,HIGH,2025-05-17,Clean Energy,Manufacturing,,175.30,182.40,195.60,-0.18,-0.28,high,elevated,REDUCE,2,US solar manufacturer. IRA beneficiary but in downtrend. Reduce until trend reverses.
NEE,NextEra Energy,equity,NYSE,US,Utilities,Renewable Energy,155000000000,https://nexteraenergy.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Largest renewable energy generator in US. Passes all thresholds.,HIGH,2025-05-18,Clean Energy,Energy Infrastructure,,78.90,76.20,72.40,0.42,0.35,low,low,HOLD,5,Largest US wind/solar operator. Regulated utility provides stability.
PLUG,Plug Power,equity,NASDAQ,US,Technology,Hydrogen Fuel Cells,2500000000,https://plugpower.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Hydrogen fuel cell company. No prohibited exposure. High-risk growth.,LOW,2025-05-15,Clean Energy,Energy Infrastructure,,2.15,2.45,4.80,-0.65,-0.72,high,high,REDUCE,0,Hydrogen play but severe downtrend and cash burn. Do not allocate until fundamentals improve.
ISDR,Issuer Direct,equity,NYSE,US,Technology,SaaS,200000000,https://issuerdirect.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Small-cap SaaS company. Passes all thresholds. Low liquidity noted.,MEDIUM,2025-05-10,,,,12.40,12.80,14.20,-0.12,-0.18,high,elevated,WATCHLIST,,Small-cap with low liquidity. Passes screening but not suitable for portfolio allocation.
2222.SR,Saudi Aramco,equity,TADAWUL,Saudi Arabia,Energy,Oil & Gas,1800000000000,https://aramco.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Saudi state oil company. Sharia-compliant structure. Passes all thresholds.,HIGH,2025-05-20,Oil & Gas,Energy Infrastructure,,8.25,8.10,7.85,0.32,0.28,low,low,HOLD,8,World largest oil producer. Sharia-compliant. Dividend anchor for income.
ADNOC,ADNOC Distribution (ADNOCDIST.AD),equity,ADX,UAE,Energy,Oil & Gas Distribution,12000000000,https://adnocdistribution.ae,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,UAE state energy distributor. Sharia-compliant. Conservative balance sheet.,HIGH,2025-05-18,Oil & Gas,,,3.85,3.78,3.62,0.28,0.22,low,low,HOLD,4,UAE energy distribution. Stable dividends. Regional diversification.
QISMUT,Qatar Islamic Bank,equity,QSE,Qatar,Financials,Islamic Banking,15000000000,https://qib.com.qa,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Full Islamic bank. No interest-based products. Sharia-compliant by structure.,HIGH,2025-05-19,Islamic Banking,Halal Finance,,5.20,5.10,4.85,0.35,0.28,low,low,HOLD,5,Pure Islamic bank. No interest-based revenue. Core Sharia-compliant financial holding.
ADIB,Abu Dhabi Islamic Bank,equity,ADX,UAE,Financials,Islamic Banking,12000000000,https://adib.ae,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Full Islamic bank. Sharia-compliant structure. UAE regulated.,HIGH,2025-05-19,Islamic Banking,Halal Finance,,12.80,12.50,11.90,0.38,0.30,low,low,HOLD,4,UAE Islamic bank. Strong capital ratios. Sharia-compliant by charter.
UNH,UnitedHealth Group,equity,NYSE,US,Healthcare,Health Insurance,450000000000,https://unitedhealthgroup.com,WATCHLIST,CLEAR,CLEAR,CLEAR,FLAGGED,CLEAR,CLEAR,CLEAR,Under review: Insurance products may involve interest-based investment income exceeding thresholds.,Large health insurer. Investment portfolio generates interest income. Ratio analysis pending.,MEDIUM,2025-05-14,Healthcare,,,485.20,510.40,530.80,-0.25,-0.32,moderate,moderate,WATCHLIST,,Watchlist: Insurance investment income may exceed AAOIFI interest threshold. Pending ratio review.
JNJ,Johnson & Johnson,equity,NYSE,US,Healthcare,Pharmaceuticals & Medical Devices,380000000000,https://jnj.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Diversified healthcare. Passes all thresholds. Conservative balance sheet.,HIGH,2025-05-18,Healthcare,,,155.80,152.40,148.90,0.32,0.25,low,low,HOLD,5,Defensive healthcare. Pharma + medtech. Low volatility anchor.
ISRA,Check Point Software,equity,NASDAQ,Israel,Technology,Cybersecurity,18000000000,https://checkpoint.com,REJECTED,FLAGGED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Israel-headquartered cybersecurity company. Fails hard exclusion: flag_israel_exposure.,Israeli company. Founded and headquartered in Tel Aviv. Automatic rejection.,HIGH,2025-05-20,Cybersecurity,,,185.40,,,,,,,Rejected: Israel-headquartered company. Hard exclusion applies.
MELI,MercadoLibre,equity,NASDAQ,Argentina,Technology,E-Commerce & Fintech,85000000000,https://mercadolibre.com,WATCHLIST,CLEAR,CLEAR,CLEAR,FLAGGED,CLEAR,CLEAR,CLEAR,Under review: Mercado Pago lending products may exceed interest-based revenue threshold.,Latin American e-commerce with growing fintech arm. Lending revenue growing rapidly.,MEDIUM,2025-05-12,,,,,,,,,WATCHLIST,,Watchlist: Mercado Pago lending arm growing. Interest-based revenue ratio needs quarterly monitoring.
AMD,Advanced Micro Devices,equity,NASDAQ,US,Technology,Semiconductors,200000000000,https://amd.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Passes all AAOIFI thresholds. No Israel operations identified.,HIGH,2025-05-19,Semiconductors,AI Infrastructure,,162.30,155.80,142.60,0.52,0.45,moderate,moderate,BUY,7,CPU/GPU competitor to Intel/NVIDIA. AI accelerator growth. No exclusion flags.
AVGO,Broadcom Inc,equity,NASDAQ,US,Technology,Semiconductors,600000000000,https://broadcom.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Passes all thresholds. No prohibited exposure identified.,HIGH,2025-05-19,Semiconductors,AI Infrastructure,,178.50,170.20,148.90,0.58,0.50,moderate,moderate,BUY,7,Networking and custom AI chips. VMware acquisition adds software recurring revenue.
COST,Costco Wholesale,equity,NASDAQ,US,Consumer Staples,Retail,350000000000,https://costco.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Membership retail. Passes all thresholds. Minimal alcohol revenue (below 5% threshold).,HIGH,2025-05-18,,,Consumer Staples,920.40,905.60,845.30,0.48,0.40,low,low,HOLD,4,Defensive consumer staple. Membership model. Alcohol revenue below 5% de minimis.
XOM,Exxon Mobil,equity,NYSE,US,Energy,Oil & Gas,480000000000,https://exxonmobil.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Major oil company. Passes AAOIFI financial ratios. No prohibited exposure.,HIGH,2025-05-18,Oil & Gas,Energy Infrastructure,,108.20,105.40,98.60,0.38,0.30,moderate,moderate,HOLD,5,Integrated oil major. Strong cash flow. Energy security theme.
CHKP,CyberArk Software,equity,NASDAQ,Israel,Technology,Identity Security,12000000000,https://cyberark.com,REJECTED,FLAGGED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Israel-headquartered identity security company. Fails hard exclusion: flag_israel_exposure.,Israeli cybersecurity company. Petah Tikva headquarters. Automatic rejection.,HIGH,2025-05-20,Cybersecurity,,,285.60,,,,,,,Rejected: Israel-headquartered. Hard exclusion applies.
WYNN,Wynn Resorts,equity,NASDAQ,US,Consumer Discretionary,Casinos & Resorts,9000000000,https://wynnresorts.com,REJECTED,CLEAR,FLAGGED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Casino and gambling resort operator. Core business is gambling. Fails: flag_gambling.,100% casino/gambling revenue. Macau and Las Vegas operations.,HIGH,2025-05-20,,,,92.40,,,,,,,Rejected: Casino/gambling operator. Core prohibited activity.
MGM,MGM Resorts International,equity,NYSE,US,Consumer Discretionary,Casinos & Resorts,14000000000,https://mgmresorts.com,REJECTED,CLEAR,FLAGGED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Casino and gambling resort operator. BetMGM online gambling. Fails: flag_gambling.,Casino resorts and online sports betting (BetMGM). Prohibited activity.,HIGH,2025-05-20,,,,42.80,,,,,,,Rejected: Casino operator with online gambling (BetMGM).
