Ticker,Company Name,Asset Type,Exchange,Country,Sector,Industry,Market Cap (USD),Website,Primary Theme,Secondary Theme,Approval Date,Confidence,Next Review,Current Price,Trend Score,Momentum Score,Risk Rating,Opportunity Score,Signal,Allocation %,Analyst Notes
NOVO-B,Novo Nordisk,equity,CPH,Denmark,Healthcare,Pharmaceuticals,600000000000,https://novonordisk.com,Healthcare,,2025-05-19,HIGH,2025-08-19,128.50,-0.15,-0.22,moderate,38.5,HOLD,5,"GLP-1 pioneer (Ozempic/Wegovy). In price correction but fundamentals intact. Supply constraints easing. Obesity market share leader. Hold through correction."
JNJ,Johnson & Johnson,equity,NYSE,US,Healthcare,Pharmaceuticals & Medical Devices,380000000000,https://jnj.com,Healthcare,,2025-05-18,HIGH,2025-11-18,155.80,0.32,0.25,low,45.2,HOLD,5,"Defensive healthcare conglomerate. Pharma (immunology, oncology) + MedTech. Low volatility anchor. Conservative balance sheet. Dividend aristocrat."
ABB,ABB Ltd,equity,NYSE,Switzerland,Industrials,Industrial Automation,95000000000,https://abb.com,Industrial Automation,Robotics,2025-05-18,HIGH,2025-08-18,52.80,0.42,0.35,low,49.5,HOLD,6,"Global automation leader. Robotics + electrification + process automation. Swiss quality. Defensive industrial with secular automation tailwind. Well-diversified geographically."
FANUY,Fanuc Corporation,equity,OTC,Japan,Industrials,Robotics & CNC,32000000000,https://fanuc.co.jp,Robotics,Industrial Automation,2025-05-17,HIGH,2025-08-17,15.20,0.32,0.25,low,44.8,HOLD,4,"Japanese factory automation leader. CNC systems + industrial robots. Conservative management. Net cash balance sheet. Japan exposure provides diversification."
2222.SR,Saudi Aramco,equity,TADAWUL,Saudi Arabia,Energy,Oil & Gas,1800000000000,https://aramco.com,Oil & Gas,Energy Infrastructure,2025-05-20,HIGH,2025-11-20,8.25,0.32,0.28,low,42.0,HOLD,8,"World's largest oil producer. Lowest production cost globally. Sharia-compliant structure. 4%+ dividend yield. Energy security theme. Stable cash flows."
ADNOC,ADNOC Distribution,equity,ADX,UAE,Energy,Oil & Gas Distribution,12000000000,https://adnocdistribution.ae,Oil & Gas,,2025-05-18,HIGH,2025-11-18,3.85,0.28,0.22,low,40.5,HOLD,4,"UAE state energy distributor. 500+ fuel stations. Stable regulated returns. 4.5% dividend yield. GCC diversification. Conservative balance sheet."
QISMUT,Qatar Islamic Bank,equity,QSE,Qatar,Financials,Islamic Banking,15000000000,https://qib.com.qa,Islamic Banking,Halal Finance,2025-05-19,HIGH,2025-11-19,5.20,0.35,0.28,low,43.2,HOLD,5,"Largest Islamic bank in Qatar. Zero interest-based revenue (pure Islamic). Strong capital ratios. GCC economic diversification beneficiary. 3.5% dividend."
ADIB,Abu Dhabi Islamic Bank,equity,ADX,UAE,Financials,Islamic Banking,12000000000,https://adib.ae,Islamic Banking,Halal Finance,2025-05-19,HIGH,2025-11-19,12.80,0.38,0.30,low,44.0,HOLD,4,"Full Islamic bank. UAE regulated. Strong retail franchise. Digital transformation underway. Conservative risk management. 4% dividend yield."
NEE,NextEra Energy,equity,NYSE,US,Utilities,Renewable Energy,155000000000,https://nexteraenergy.com,Clean Energy,Energy Infrastructure,2025-05-18,HIGH,2025-08-18,78.90,0.42,0.35,low,46.8,HOLD,5,"Largest US renewable energy generator (wind + solar). Regulated utility provides earnings stability. Data centre power demand is new growth driver."
CATL,CATL (300750.SZ),equity,SZSE,China,Technology,Battery Manufacturing,150000000000,https://catl.com,Battery Technology,Clean Energy,2025-05-16,MEDIUM,2025-08-16,48.20,0.38,0.30,elevated,40.2,HOLD,4,"World's largest battery manufacturer. 37% global market share. Supplies Tesla, BMW, Mercedes. Sodium-ion and solid-state R&D. China geopolitical risk noted."
XOM,Exxon Mobil,equity,NYSE,US,Energy,Oil & Gas,480000000000,https://exxonmobil.com,Oil & Gas,Energy Infrastructure,2025-05-18,HIGH,2025-11-18,108.20,0.38,0.30,moderate,43.5,HOLD,5,"Integrated oil major. Pioneer Basin dominance. Strong free cash flow. Passes AAOIFI ratios (debt/assets 18%). Energy security positioning."
COST,Costco Wholesale,equity,NASDAQ,US,Consumer Staples,Retail,350000000000,https://costco.com,,,2025-05-18,HIGH,2025-11-18,920.40,0.48,0.40,low,47.5,HOLD,4,"Membership retail model. Defensive consumer staple. Alcohol revenue below 5% de minimis threshold (passes). Consistent same-store sales growth. Low volatility."
